Risk Name,Risk Treatment,Risk Progress,Risk Category,Risk Status,Risk Impact,Risk Likelihood,Risk Combined Score,Risk Description,Risk Owner,Active Controls
"Acceptable Use of Company Assets","NA","IDENTIFIED","People",TRUE,"NA","NA","NA","Inappropriate use of company owned assets may introduce malware or viruses into the network resulting in a breach or compromise of sensitive data.",null,"Acceptable Use Policy, Antivirus"
"Antivirus","CONTROL","MITIGATED","Technical",TRUE,"MEDIUM","MEDIUM","MEDIUM","If devices on the network do not have antivirus software installed, a virus could enter the network leading to a security incident or breach.",null,"Antivirus"
"Availability","NA","IDENTIFIED","Technical",TRUE,"NA","NA","NA","[Deactivate this risk if your organization is not pursuing the Availablity criteria as part of your SOC 2 audit. Delete these instructions and score the risk if it is.] A lack of (or ad hoc) capacity management and system monitoring practices can lead to system failures or delays that result in interruptions and diminishing trust in reliability of services.",null,"Monitoring Infrastructure"
"Business Continuity","NA","IDENTIFIED","Policy",TRUE,"NA","NA","NA","Failure to adopt and test a business continuity plan can lead to an inability of the organization to efficiently and effectively resume operations or provide timely access to sensitive data. This may result in fines from enforcement agencies or litigation due to not meeting minimum security requirements.",null,"Business Continuity"
"Change Management","NA","IDENTIFIED","Technical",TRUE,"NA","NA","NA","If changes to systems, settings, or software are implemented without authorization, testing, and approval, vulnerabilities and errors can be introduced. This can result in a decrease in stakeholder trust in the integrity and/or availability of the system, settings, or software.",null,"Change Management: Application/Software, Change Management: Infrastructure, Change Management Policy, Separation of Environments, Change Management: Emergency Process, Change Management: Separation of Duties, Change Management: Ticketing System"
"Compliance with Laws and Regulations","NA","IDENTIFIED","Legal",TRUE,"NA","NA","NA","Non-compliance with laws and regulations can lead to fines or penalties and reputational damage, impacting customer trust in the integrity of the product and/or management.",null,"Data Retention/Deletion, Risk Assessment Methodology"
"Confidentiality","NA","IDENTIFIED","Legal",TRUE,"NA","NA","NA","[Deactivate this risk if your organization is not pursuing the Confidentiality criteria as part of your SOC 2 audit. Delete these instructions and score the risk if it is.]  Unprotected confidential information can result in unintentional destruction or distribution, or over-retention of confidential data.",null,"Data Retention/Deletion, Non Disclosure Agreement"
"Contracts","NA","IDENTIFIED","Legal",TRUE,"NA","NA","NA","Inadequate contractual agreements can lead to an inability to hold third parties accountable to basic security standards and requirements which can compound reputational damage and financial repercussions from a data breach.",null,"Contracts"
"Control Ownership","NA","IDENTIFIED","People",TRUE,"NA","NA","NA","If security control ownership is not defined then controls can go un-executed due to lack of oversight. This exposes the company to data breaches, security incidents, malfeasance, and criminal behavior which can erode internal and external trust in the organization.",null,""
"Corporate Monitoring","NA","IDENTIFIED","People",TRUE,"NA","NA","NA","If board or management involvement is lacking, this may lead to poor corporate oversight and decision-making.",null,"Management Oversight"
"Data Breach","NA","IDENTIFIED","Privacy",TRUE,"NA","NA","NA","If data is inappropriately accessed and/or disclosed by internal or external parties it will lead to regulatory ramifications, an impact on business reputation and stakeholder trust, and liability for damages.",null,"Incident Response: Employee Responsibility"
